Nato Green,197,Acrylic Color Modelismo,65,101,63,#41653F
Nato Brown,198,Acrylic Color Modelismo,141,110,69,#8D6E45
Nato Black,199,Acrylic Color Modelismo,35,31,32,#231F20
Camo Dark Green - FS 34083,200,Acrylic Color Modelismo,81,94,51,#515E33
Beige Brown FS 31090,201,Acrylic Color Modelismo,154,84,33,#9A5421
BS381/638 Dark Sea Grey,202,Acrylic Color Modelismo,85,102,112,#556670
BS381/C626 Barley Grey,203,Acrylic Color Modelismo,124,141,151,#7C8D97
Elfenbein Ivory RAL1001,204,Acrylic Color Modelismo,236,213,170,#ECD5AA
Air Force Blue FS 15045 (gloss),205,Acrylic Color Modelismo,0,59,83,#003B53
Green Gray,206,Acrylic Color Modelismo,40,52,20,#283414
Light Gray FS 36495,207,Acrylic Color Modelismo,207,216,222,#CFD8DE
Desert Sand FS 30279,208,Acrylic Color Modelismo,186,144,128,#BA9080
Hello Drab,209,Acrylic Color Modelismo,0,51,16,#003310
Sand Yellow,210,Acrylic Color Modelismo,174,157,32,#AE9D20
Dark Rust,211,Acrylic Color Modelismo,71,34,34,#472222
"IDF Sand Grey ""73""",212,Acrylic Color Modelismo,146,111,78,#926F4E
"IDF Sinai Grey ""82""",213,Acrylic Color Modelismo,87,70,51,#574633
"IDF Sinai Gray ""since1990""",214,Acrylic Color Modelismo,93,100,89,#5D6459
BS381-641 Dark Green,215,Acrylic Color Modelismo,0,42,15,#002A0F
Khaki Drab,216,Acrylic Color Modelismo,78,60,40,#4E3C28
"Sand Nato ""MERDC"" FS 30227",217,Acrylic Color Modelismo,177,165,151,#B1A597
Carc Tan FS 33446,218,Acrylic Color Modelismo,197,172,148,#C5AC94
Braun(DAK) RAL8020,219,Acrylic Color Modelismo,235,213,189,#EBD5BD
Sandgrau(DAK) RAL 7027,220,Acrylic Color Modelismo,138,116,109,#8A746D
Gelbraun(DAK) RAL8000,221,Acrylic Color Modelismo,205,184,169,#CDB8A9
Graugrün(DAK) RAL7008,222,Acrylic Color Modelismo,174,165,159,#AEA59F
RAL1039 Sandbeige - F9,223,Acrylic Color Modelismo,221,190,143,#DDBE8F
RAL8031 Sandbraun - F9,224,Acrylic Color Modelismo,223,187,155,#DFBB9B
RAL6014 Gelboliv,225,Acrylic Color Modelismo,111,100,79,#6F644F
RAL7050 Tarn Grau - F9,226,Acrylic Color Modelismo,157,143,130,#9D8F82
RAL6040 Helloliv - F9,227,Acrylic Color Modelismo,232,222,207,#E8DECF
Gelb-Yellow RLM04,228,Acrylic Color Modelismo,255,203,4,#FFCB04
JA Green,229,Acrylic Color Modelismo,43,77,71,#2B4D47
JA Gray,230,Acrylic Color Modelismo,134,156,156,#869C9C
JN Green,231,Acrylic Color Modelismo,35,54,57,#233639
JN Gray,232,Acrylic Color Modelismo,118,136,127,#76887F
JN Gray Green,233,Acrylic Color Modelismo,151,173,160,#97ADA0
Azure Blue,234,Acrylic Color Modelismo,0,104,159,#00689F
MiddleStone,235,Acrylic Color Modelismo,169,117,90,#A9755A
Duck Egg Blue,236,Acrylic Color Modelismo,145,165,144,#91A590
Armor Green,237,Acrylic Color Modelismo,108,125,100,#6C7D64
Dust,238,Acrylic Color Modelismo,220,201,186,#DCC9BA
Earth,239,Acrylic Color Modelismo,127,102,88,#7F6658
Concrete,240,Acrylic Color Modelismo,139,147,152,#8B9398
Sandgelb RAL1002,241,Acrylic Color Modelismo,239,215,181,#EFD7B5
Uniform Green,242,Acrylic Color Modelismo,104,116,68,#687444
Canvas Green,243,Acrylic Color Modelismo,55,61,37,#373D25
JLTV Brown,244,Acrylic Color Modelismo,176,135,108,#B0876C
JLTV Light Green,245,Acrylic Color Modelismo,104,115,56,#687338
JLTV Gray Green,246,Acrylic Color Modelismo,48,51,2,#303302
Orange FS 12246,259,Acrylic Color Modelismo,245,130,31,#F5821F
Aluminium Metallic,400,Acrylic Color Metallic,177,176,176,#B1B0B0
Jet Exhaust Metallic,401,Acrylic Color Metallic,63,53,20,#3F3514
Golden Metallic,402,Acrylic Color Metallic,244,172,34,#F4AC22
Fuzil Metallic,403,Acrylic Color Metallic,94,101,114,#5E6572
Gun Metal Metallic,404,Acrylic Color Metallic,67,66,69,#434245
Copper Metallic,405,Acrylic Color Metallic,118,85,77,#76554D
Iron Metallic,406,Acrylic Color Metallic,199,197,198,#C7C5C6
Brass Metallic,407,Acrylic Color Metallic,208,140,41,#D08C29
Black Gun Metallic,420,Acrylic Color Metallic,21,19,13,#15130D
Anodized Blue Metallic,421,Acrylic Color Metallic,0,157,188,#009DBC
Anodized Dark Blue Metallic,422,Acrylic Color Metallic,0,91,144,#005B90
Anodized Green Metallic,423,Acrylic Color Metallic,0,88,70,#005846
Gold Leaf Metallic,426,Acrylic Color Metallic,155,164,77,#9BA44D
Cromo Metallic,427,Acrylic Color Metallic,155,155,155,#9B9B9B
Branco,1000,Acrylic Color Artes,255,255,255,#FFFFFF
Preto,1001,Acrylic Color Artes,29,27,27,#1D1B1B
Amarelo,1002,Acrylic Color Artes,233,175,33,#E9AF21
Vermelho,1003,Acrylic Color Artes,179,31,44,#B31F2C
Azul Ftalocianina,1004,Acrylic Color Artes,36,59,123,#243B7B
Gris de Payne,1005,Acrylic Color Artes,139,138,140,#8B8A8C
Gray N41,1006,Acrylic Color Artes,146,148,154,#92949A
Gray N2,1007,Acrylic Color Artes,93,101,111,#5D656F
Gray N3,1008,Acrylic Color Artes,126,132,138,#7E848A
Gray N4,1009,Acrylic Color Artes,135,135,141,#87878D
Gray NS,1010,Acrylic Color Artes,52,57,66,#343942
Highlight Flesh,1011,Acrylic Color Artes,168,151,122,#A8977A
Flat Flesh,1012,Acrylic Color Artes,157,120,88,#9D7858
Sunny Skin Flesh,1013,Acrylic Color Artes,168,139,115,#A88B73
Medium Flesh,1014,Acrylic Color Artes,152,89,77,#98594D
Flesh Base,1015,Acrylic Color Artes,167,121,99,#A77963
Turquesa,1016,Acrylic Color Artes,0,126,165,#007EA5
Azul Francês,1017,Acrylic Color Artes,49,70,128,#314680
Vermelho Carmim,1018,Acrylic Color Artes,133,52,68,#853444
Amarelo Indiano,1019,Acrylic Color Artes,172,123,68,#AC7B44
Amarelo Cádmio,1020,Acrylic Color Artes,222,173,60,#DEAD3C
Laranja,1021,Acrylic Color Artes,207,92,65,#CF5C41
Verde Turquesa,1022,Acrylic Color Artes,92,161,164,#5CA1A4
Vermelho Veneza,1023,Acrylic Color Artes,94,50,54,#5E3236
Azul Cobalto,1024,Acrylic Color Artes,32,68,117,#204475
Verde Vessie,1025,Acrylic Color Artes,38,84,71,#265447
Azul Turquesa,1026,Acrylic Color Artes,0,126,165,#007EA5
Azul Safira,1027,Acrylic Color Artes,83,79,136,#534F88
Verde Claro,1028,Acrylic Color Artes,134,184,180,#86B8B4
Verde Musgo,1029,Acrylic Color Artes,33,85,51,#215533
Verde de Hooker,1030,Acrylic Color Artes,27,109,97,#1B6D61
Marrom de Garança,1031,Acrylic Color Artes,78,33,28,#4E211C
Azul Celeste,1032,Acrylic Color Artes,39,86,152,#275698
Alizarin,1033,Acrylic Color Artes,116,34,73,#742249
Violeta Cobalto,1034,Acrylic Color Artes,107,90,151,#6B5A97
Violeta Cobalto Escuro,1035,Acrylic Color Artes,71,43,117,#472B75
Laca Orquídea,1036,Acrylic Color Artes,174,101,152,#AE6598
Magenta,1037,Acrylic Color Artes,158,31,55,#9E1F37
Salmão,1038,Acrylic Color Artes,215,154,132,#D79A84
Marrom Van Dick,1039,Acrylic Color Artes,119,79,35,#774F23
Rosa Antigo,1040,Acrylic Color Artes,202,148,173,#CA94AD
Amarelo Neon,1041,Acrylic Color Artes,216,210,55,#D8D237
Laranja Neon,1042,Acrylic Color Artes,216,77,69,#D84D45
Vermelho Neon,1043,Acrylic Color Artes,230,54,48,#E63630
Pink Neon,1044,Acrylic Color Artes,210,69,122,#D2457A
Rosa Neon,1045,Acrylic Color Artes,209,52,101,#D13465
Roxo Neon,1046,Acrylic Color Artes,94,21,69,#5E1545
Verde Neon,1047,Acrylic Color Artes,0,144,70,#009046
Verde Cádmio,1048,Acrylic Color Artes,23,129,67,#178143
Vermelho Shock,1049,Acrylic Color Artes,165,55,64,#A53740
